puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
71;71;28;19;0.5221;1.9612688000197522;58.7776;24.0832;0.8052;73;55
72;124;31;22;0.4162;5.612321000022348;68.0870;27.1293;0.7826;87;67
73;58;33;23;0.5717;1.6768472000258043;33.7390;28.5657;0.5919;57;45
74;73;27;24;0.4626;2.4791849000030197;62.1500;26.4575;0.8071;77;61
75;86;28;23;0.4626;3.150161800032947;65.8966;26.3818;0.7845;84;63
76;121;28;24;0.5066;5.459414299984928;57.1586;26.9258;0.7724;74;57
77;82;33;21;0.5066;2.6003940000082366;47.0722;27.3496;0.6725;70;55
78;111;21;19;0.6073;2.5821536000003107;41.6182;20.9762;0.7432;56;45
79;77;23;21;0.5717;2.1554377999855205;45.5909;22.9783;0.7727;59;49
80;69;30;22;0.4841;2.6923107000184245;62.5750;26.7021;0.8022;78;60
81;143;24;21;0.5717;4.377634099975694;47.7091;23.4521;0.7455;64;49
82;161;33;20;0.4225;6.561771800043061;71.0504;26.7208;0.7479;95;69
83;24;33;21;0.9557;0.250644400017336;3.5695;27.3496;0.2380;15;15
84;129;32;21;0.4489;5.374934000021312;68.4917;26.9444;0.8058;85;65
85;86;24;19;0.6073;2.293853700044565;36.8220;22.3607;0.7220;51;42
86;88;26;21;0.4841;2.861093899991829;59.4242;24.3721;0.8030;74;57
87;30;33;23;0.8728;0.37464100000215694;7.3223;28.5657;0.2929;25;20
88;43;33;17;0.7171;0.6802447000518441;22.5098;24.7386;0.5359;42;33
89;52;33;20;0.6259;1.2599817999871448;36.7717;26.7208;0.6232;59;42
90;86;31;20;0.4841;3.2361608000355773;55.5729;25.9230;0.7217;77;59
91;93;25;22;0.5143;2.697562100016512;58.3294;24.4540;0.7575;77;53
92;41;21;25;0.7391;0.7211620999732986;24.9301;23.9165;0.5420;46;32
93;148;29;18;0.5546;5.0864132000133395;43.5228;23.8747;0.7772;56;51
94;31;33;24;0.8597;0.4242382000084035;9.9282;29.1548;0.3424;29;22
95;60;26;17;0.6073;1.3905796999461018;44.3210;22.0454;0.7387;60;44
96;22;26;25;0.9850;0.18851920001907274;2.8148;26.4953;0.2165;13;13
97;122;31;21;0.4915;4.198883200006094;59.9233;26.5330;0.7585;79;58
98;132;25;18;0.5631;3.515577599988319;51.4818;22.2261;0.7571;68;50
99;25;33;21;0.9413;0.2708188000251539;4.3583;27.3496;0.2179;20;16
100;53;29;24;0.5301;1.8848875999683514;52.2600;27.3861;0.8040;65;53
101;57;25;23;0.5301;1.7133926000096835;47.2756;24.9800;0.8013;59;53
102;123;30;23;0.4768;5.069287499994971;61.3306;27.2764;0.7863;78;61
103;42;33;14;0.7280;0.9875245000002906;23.6471;22.5832;0.6569;36;33
104;98;31;17;0.6073;3.6779044999857433;39.0903;24.0000;0.7517;52;45
105;148;23;22;0.5143;4.300694299978204;61.4837;23.4947;0.7591;81;56
106;124;22;22;0.5301;3.9482263999525458;53.6087;23.0000;0.7769;69;53
107;97;28;16;0.5631;2.347973199968692;47.5132;22.2036;0.7789;61;49
108;72;25;19;0.6073;1.8045902000158094;37.4000;22.8035;0.7192;52;45
109;84;21;19;0.6649;1.7906530000036582;34.5455;20.9762;0.6909;50;39
